ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and time,What is needed?,What is available?,Phone number,x,y
2,19d4f678-b17f-4719-8868-b4c1b6ef099f,4/20/2021 3:09:02 PM,gizelle.cota_SLUSTL,4/20/2021 3:09:02 PM,gizelle.cota_SLUSTL,4/20/2021 3:08:00 PM,,,,-67.0056237838989,18.3769429859381
3,03402d07-d61e-4696-8558-c1a091b06a85,4/20/2021 3:17:50 PM,,4/20/2021 3:17:50 PM,,4/20/2021 3:16:00 PM,,,,-66.201782003028,18.1974683037703
4,21c61913-d707-4afc-8db3-5536eb011aa3,4/20/2021 3:24:42 PM,,4/20/2021 3:24:42 PM,,4/20/2021 3:23:00 PM,,,,-66.0478905541654,18.400522183933
5,8d52d9cf-d1dc-4464-844f-38d11e2481f7,4/20/2021 3:45:45 PM,,4/20/2021 3:45:45 PM,,4/20/2021 3:45:00 PM,,,,-67.047042790783,18.0746199888365
6,e4c13696-67ca-4125-84ce-c8cf281f5956,4/20/2021 3:49:37 PM,,4/20/2021 3:49:37 PM,,4/20/2021 3:45:00 PM,,,,-66.2208709493108,18.1954588278841
7,634c3d1a-84e5-4141-8763-c5c1dae100b2,4/20/2021 4:46:20 PM,,4/20/2021 4:46:20 PM,,4/20/2021 4:45:00 PM,,,,-66.0298919677563,18.1600103388954
8,ee9cbf10-2cc5-4889-839a-3d83329e583b,4/20/2021 4:47:30 PM,,4/30/2021 3:51:04 PM,gizelle.cota_SLUSTL,4/20/2021 4:46:00 PM,,,,-66.946297511441,18.2961220934196
9,7ac1ffe9-10f2-4ca0-817f-4a5659293c11,4/30/2021 4:58:28 PM,gizelle.cota_SLUSTL,4/30/2021 4:58:28 PM,gizelle.cota_SLUSTL,4/30/2021 4:57:00 PM,"Food_1_meal_for_1_person_,Water,Medicine",Housing_Materials,,-66.5963745117014,18.2749982302524
10,015fcc6d-7750-47fd-8aa8-c799e6fba056,4/30/2021 4:59:34 PM,gizelle.cota_SLUSTL,4/30/2021 4:59:34 PM,gizelle.cota_SLUSTL,4/30/2021 4:59:00 PM,"Food_1_meal_for_1_person_,Water",Housing_Materials,,-66.696624755842,18.190215894633
11,be51b21f-cf04-4977-835b-17441e130004,4/30/2021 5:01:25 PM,gizelle.cota_SLUSTL,4/30/2021 5:01:25 PM,gizelle.cota_SLUSTL,4/30/2021 5:01:00 PM,"Food_1_meal_for_1_person_,Clothing","Housing_Materials,Medicine",,-66.9616699218573,18.1589012131665
12,d2dbd5b7-538c-4c5d-821d-3b26920aeda7,4/30/2021 5:05:39 PM,gizelle.cota_SLUSTL,4/30/2021 5:05:39 PM,gizelle.cota_SLUSTL,4/30/2021 5:05:00 PM,"Food_1_meal_for_1_person_,Housing_Materials","Water,Medicine",,-65.8383178710767,18.3102033447195
13,86ce2508-5746-439b-8ad2-a516795c76e9,4/30/2021 5:07:30 PM,gizelle.cota_SLUSTL,4/30/2021 5:07:30 PM,gizelle.cota_SLUSTL,4/30/2021 5:07:00 PM,"Food_1_meal_for_1_person_,Clothing","Water,Medicine",56411,-66.0443115234203,18.1667304102174
